time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-22T13:46:18.214Z,31.6947,120.1923,10,4.3,mb,,75,6.794,0.96,us,us6000geit,2021-12-23T02:09:03.691Z,"16 km NNW of Wuxi, China",earthquake,8.4,1.9,0.119,20,reviewed,us,us
2021-12-22T12:37:16.930Z,36.0911667,-117.8603333,3.47,2.54,ml,43,40,0.02673,0.14,ci,ci39893383,2021-12-22T18:45:37.940Z,"9km ENE of Coso Junction, CA",earthquake,0.12,0.24,0.272,25,reviewed,ci,ci
2021-12-22T12:36:31.880Z,19.1516666666667,-155.473666666667,32.91,2.89,ml,46,156,,0.11,hv,hv72843072,2021-12-22T21:34:23.340Z,"5 km S of Pāhala, Hawaii",earthquake,0.45,0.54,0.146744651962897,22,reviewed,hv,hv
2021-12-22T12:27:37.427Z,2.4027,126.9293,10,5,mww,,45,1.678,0.82,us,us6000gehc,2021-12-22T12:42:02.040Z,"141 km WNW of Tobelo, Indonesia",earthquake,7.8,1.8,0.089,12,reviewed,us,us
2021-12-22T12:19:56.105Z,2.4427,126.9203,14.61,4.9,mww,,79,1.718,0.94,us,us6000gehb,2021-12-22T12:35:59.040Z,"144 km WNW of Tobelo, Indonesia",earthquake,7.1,4.3,0.093,11,reviewed,us,us
2021-12-22T11:48:04.557Z,67.3382,-156.1485,0,2.9,ml,,,,0.98,ak,ak021gcy5m6e,2021-12-22T12:51:40.040Z,"57 km NE of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-22T10:28:09.893Z,54.9439,111.8207,10,4.2,mb,,94,5.89,1.11,us,us6000gegq,2021-12-22T12:46:22.040Z,"119 km NE of Kurumkan, Russia",earthquake,8,1.9,0.152,12,reviewed,us,us
2021-12-22T09:23:12.979Z,64.08,-22.0251,10,4.9,mb,,125,0.735,0.63,us,us6000geg2,2021-12-23T02:14:05.258Z,"2 km S of Álftanes, Iceland",earthquake,6,1.9,0.059,91,reviewed,us,us
2021-12-22T09:19:55.429Z,-4.6361,152.6352,54.34,5.4,mb,,56,0.645,0.96,us,us6000geg0,2021-12-22T11:21:16.884Z,"51 km SE of Kokopo, Papua New Guinea",earthquake,7.8,6.3,0.064,84,reviewed,us,us
2021-12-22T08:11:16.244Z,56.1981,-156.4412,51.2,2.5,ml,,,,0.55,ak,ak021gcw5ert,2021-12-22T08:17:07.710Z,"122 km E of Chignik, Alaska",earthquake,,5.1,,,automatic,ak,ak
2021-12-22T07:53:12.234Z,40.7401,-116.0018,5.1,2.6,ml,10,133.6,0.316,0.132,nn,nn00830389,2021-12-23T02:37:32.755Z,"9 km ENE of Carlin, Nevada",earthquake,,7.4,0.19,7,reviewed,nn,nn
2021-12-22T07:22:46.920Z,33.95130539,-97.27681732,0.8399627805,2.91,ml,57,77.48415756,0.09031722695,0.884745384,ok,ok2021yzef,2021-12-22T14:48:35.429Z,"14 km W of Marietta, Oklahoma",earthquake,2.458894434,1.749254861,,43,automatic,ok,ok
2021-12-22T07:07:01.761Z,26.2732,127.202,108.59,4.8,mb,,93,1.11,1.26,us,us6000gefe,2021-12-22T07:25:12.040Z,"48 km W of Naha, Japan",earthquake,6.9,11.3,0.184,9,reviewed,us,us
2021-12-22T06:30:23.534Z,61.4036,-147.2488,13.8,2.6,ml,,,,0.81,ak,ak021gcv2mph,2021-12-22T14:57:31.040Z,"49 km SSE of Glacier View, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-12-22T06:20:48.490Z,32.7843333,-86.7655,0.01,3.1,md,9,92,0.3212,0.38,se,se60140943,2021-12-23T01:19:56.025Z,"10 km E of Maplesville, Alabama",earthquake,1.53,0.16,0.142,13,reviewed,se,se
2021-12-22T05:51:51.524Z,-57.8143,-25.2929,35,5.9,mww,,27,7.197,0.92,us,us6000geea,2021-12-22T14:33:36.692Z,"South Sandwich Islands region",earthquake,9.2,1.8,0.061,26,reviewed,us,us
2021-12-22T04:55:11.549Z,-5.5324,151.5864,35,4.9,mb,,96,1.451,0.53,us,us6000gee1,2021-12-23T01:00:07.040Z,"151 km SSW of Kokopo, Papua New Guinea",earthquake,9.3,2,0.071,62,reviewed,us,us
2021-12-22T03:51:29.381Z,-30.0288,-71.6574,25.63,4.6,mb,,174,0.379,0.55,us,us6000gedu,2021-12-23T00:38:05.040Z,"31 km WSW of Coquimbo, Chile",earthquake,4.3,8.6,0.206,7,reviewed,us,us
